Land,Wettbewerb,Team,SubGroupOrder,API-Provider,API-Key-Provider,ICSId
Deutschland,Bundesliga,FC Augsburg,1,TheSportsDB,THESPORTSDB_API_KEY,133652
Deutschland,Bundesliga,Union Berlin,2,TheSportsDB,THESPORTSDB_API_KEY,134690
Deutschland,Bundesliga,Werder Bremen,3,TheSportsDB,THESPORTSDB_API_KEY,133662
Deutschland,Bundesliga,Borussia Dortmund,4,TheSportsDB,THESPORTSDB_API_KEY,133650
Deutschland,Bundesliga,Eintracht Frankfurt,5,TheSportsDB,THESPORTSDB_API_KEY,133814
Deutschland,Bundesliga,SC Freiburg,6,TheSportsDB,THESPORTSDB_API_KEY,133653
Deutschland,Bundesliga,Hamburger SV,7,TheSportsDB,THESPORTSDB_API_KEY,155605
Deutschland,Bundesliga,1. FC Heidenheim,8,TheSportsDB,THESPORTSDB_API_KEY,134696
Deutschland,Bundesliga,TSG Hoffenheim,9,TheSportsDB,THESPORTSDB_API_KEY,133657
Deutschland,Bundesliga,1. FC Köln,10,TheSportsDB,THESPORTSDB_API_KEY,133654
Deutschland,Bundesliga,RB Leipzig,11,TheSportsDB,THESPORTSDB_API_KEY,134695
Deutschland,Bundesliga,Bayer Leverkusen,12,TheSportsDB,THESPORTSDB_API_KEY,133666
Deutschland,Bundesliga,Mainz 05,13,TheSportsDB,THESPORTSDB_API_KEY,133665
Deutschland,Bundesliga,Borussia Mönchengladbach,14,TheSportsDB,THESPORTSDB_API_KEY,134779
Deutschland,Bundesliga,Bayern Munich,15,TheSportsDB,THESPORTSDB_API_KEY,133664
Deutschland,Bundesliga,FC St. Pauli,16,TheSportsDB,THESPORTSDB_API_KEY,133813
Deutschland,Bundesliga,VfB Stuttgart,17,TheSportsDB,THESPORTSDB_API_KEY,133660
Deutschland,Bundesliga,VfL Wolfsburg,18,TheSportsDB,THESPORTSDB_API_KEY,133655
Deutschland,2. Bundesliga,Arminia Bielefeld,1,TheSportsDB,THESPORTSDB_API_KEY,133852
Deutschland,2. Bundesliga,VfL Bochum,2,TheSportsDB,THESPORTSDB_API_KEY,133839
Deutschland,2. Bundesliga,Darmstadt 98,3,TheSportsDB,THESPORTSDB_API_KEY,134693
Deutschland,2. Bundesliga,Dynamo Dresden,4,TheSportsDB,THESPORTSDB_API_KEY,135655
Deutschland,2. Bundesliga,Eintracht Braunschweig,5,TheSportsDB,THESPORTSDB_API_KEY,134302
Deutschland,2. Bundesliga,Fortuna Düsseldorf,6,TheSportsDB,THESPORTSDB_API_KEY,133935
Deutschland,2. Bundesliga,Greuther Fürth,7,TheSportsDB,THESPORTSDB_API_KEY,134099
Deutschland,2. Bundesliga,Hannover 96,8,TheSportsDB,THESPORTSDB_API_KEY,133656
Deutschland,2. Bundesliga,Hertha BSC,9,TheSportsDB,THESPORTSDB_API_KEY,133658
Deutschland,2. Bundesliga,Holstein Kiel,10,TheSportsDB,THESPORTSDB_API_KEY,136027
Deutschland,2. Bundesliga,Kaiserslautern,11,TheSportsDB,THESPORTSDB_API_KEY,133663
Deutschland,2. Bundesliga,Karlsruher SC,12,TheSportsDB,THESPORTSDB_API_KEY,135293
Deutschland,2. Bundesliga,1. FC Magdeburg,13,TheSportsDB,THESPORTSDB_API_KEY,136194
Deutschland,2. Bundesliga,1. FC Nürnberg,14,TheSportsDB,THESPORTSDB_API_KEY,133659
Deutschland,2. Bundesliga,SC Paderborn,15,TheSportsDB,THESPORTSDB_API_KEY,134551
Deutschland,2. Bundesliga,Preußen Münster,16,TheSportsDB,THESPORTSDB_API_KEY,137965
Deutschland,2. Bundesliga,Schalke 04,17,TheSportsDB,THESPORTSDB_API_KEY,133661
Deutschland,2. Bundesliga,SV Elversberg,18,TheSportsDB,THESPORTSDB_API_KEY,138411
Deutschland,3. Bundesliga,1860 Munich,1,TheSportsDB,THESPORTSDB_API_KEY,134242
