Kalendername,Land,Kategorie,Wettbewerb,API-Provider,API-Key-Provider,ICSId,LogoBytes,SubGroupOrder
Fussball/Deutschland/1. Bundesliga/FC Augsburg,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133652,,1
Fussball/Deutschland/1. Bundesliga/Union Berlin,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134690,,2
Fussball/Deutschland/1. Bundesliga/Werder Bremen,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133662,,3
Fussball/Deutschland/1. Bundesliga/Borussia Dortmund,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133650,,4
Fussball/Deutschland/1. Bundesliga/Eintracht Frankfurt,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133814,,5
Fussball/Deutschland/1. Bundesliga/SC Freiburg,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133653,,6
Fussball/Deutschland/1. Bundesliga/Hamburger SV,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,155605,,7
Fussball/Deutschland/1. Bundesliga/1. FC Heidenheim,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134696,,8
Fussball/Deutschland/1. Bundesliga/TSG Hoffenheim,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133657,,9
Fussball/Deutschland/1. Bundesliga/1. FC Köln,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133654,,10
Fussball/Deutschland/1. Bundesliga/RB Leipzig,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134695,,11
Fussball/Deutschland/1. Bundesliga/Bayer Leverkusen,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133666,,12
Fussball/Deutschland/1. Bundesliga/Mainz 05,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133665,,13
Fussball/Deutschland/1. Bundesliga/Borussia Mönchengladbach,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134779,,14
Fussball/Deutschland/1. Bundesliga/Bayern Munich,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133664,,15
Fussball/Deutschland/1. Bundesliga/FC St. Pauli,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133813,,16
Fussball/Deutschland/1. Bundesliga/VfB Stuttgart,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133660,,17
Fussball/Deutschland/1. Bundesliga/VfL Wolfsburg,Deutschland,Sport,1. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133655,,18
Fussball/Deutschland/2. Bundesliga/Arminia Bielefeld,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133852,,1
Fussball/Deutschland/2. Bundesliga/VfL Bochum,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133839,,2
Fussball/Deutschland/2. Bundesliga/Darmstadt 98,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134693,,3
Fussball/Deutschland/2. Bundesliga/Dynamo Dresden,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,135655,,4
Fussball/Deutschland/2. Bundesliga/Eintracht Braunschweig,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134302,,5
Fussball/Deutschland/2. Bundesliga/Fortuna Düsseldorf,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133935,,6
Fussball/Deutschland/2. Bundesliga/Greuther Fürth,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134099,,7
Fussball/Deutschland/2. Bundesliga/Hannover 96,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133656,,8
Fussball/Deutschland/2. Bundesliga/Hertha BSC,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133658,,9
Fussball/Deutschland/2. Bundesliga/Holstein Kiel,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,136027,,10
Fussball/Deutschland/2. Bundesliga/Kaiserslautern,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133663,,11
Fussball/Deutschland/2. Bundesliga/Karlsruher SC,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,135293,,12
Fussball/Deutschland/2. Bundesliga/1. FC Magdeburg,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,136194,,13
Fussball/Deutschland/2. Bundesliga/1. FC Nürnberg,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133659,,14
Fussball/Deutschland/2. Bundesliga/SC Paderborn,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134551,,15
Fussball/Deutschland/2. Bundesliga/Preußen Münster,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,137965,,16
Fussball/Deutschland/2. Bundesliga/Schalke 04,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133661,,17
Fussball/Deutschland/2. Bundesliga/SV Elversberg,Deutschland,Sport,2. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138411,,18
Fussball/Deutschland/3. Bundesliga/1860 Munich,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134242,,1
Fussball/Deutschland/3. Bundesliga/Alemannia Aachen,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134210,,2
Fussball/Deutschland/3. Bundesliga/Erzgebirge Aue,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134445,,3
Fussball/Deutschland/3. Bundesliga/Energie Cottbus,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133853,,4
Fussball/Deutschland/3. Bundesliga/MSV Duisburg,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133877,,5
Fussball/Deutschland/3. Bundesliga/Hansa Rostock,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,133876,,6
Fussball/Deutschland/3. Bundesliga/Havelse,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138375,,7
Fussball/Deutschland/3. Bundesliga/Hoffenheim II,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138365,,8
Fussball/Deutschland/3. Bundesliga/FC Ingolstadt,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,134694,,9
Fussball/Deutschland/3. Bundesliga/Jahn Regensburg,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,136026,,10
Fussball/Deutschland/3. Bundesliga/Waldhof Mannheim,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,137962,,11
Fussball/Deutschland/3. Bundesliga/VfL Osnabrück,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,137115,,12
Fussball/Deutschland/3. Bundesliga/Rot-Weiss Essen,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138400,,13
Fussball/Deutschland/3. Bundesliga/Saarbrücken,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138410,,14
Fussball/Deutschland/3. Bundesliga/Schweinfurt,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138424,,15
Fussball/Deutschland/3. Bundesliga/VfB Stuttgart II,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,140052,,16
Fussball/Deutschland/3. Bundesliga/SSV Ulm,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,135430,,17
Fussball/Deutschland/3. Bundesliga/Verl,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,138399,,18
Fussball/Deutschland/3. Bundesliga/Viktoria Köln,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,137961,,19
Fussball/Deutschland/3. Bundesliga/Wehen Wiesbaden,Deutschland,Sport,3. Bundesliga,TheSportsDB,THESPORTSDB_API_KEY,137111,,20
Fussball/Spanien/La Liga/Athletic Bilbao,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133727,,1
Fussball/Spanien/La Liga/Atlético Madrid,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133729,,2
Fussball/Spanien/La Liga/Barcelona,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133739,,3
Fussball/Spanien/La Liga/Celta Vigo,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133937,,4
Fussball/Spanien/La Liga/Deportivo Alavés,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,134221,,5
Fussball/Spanien/La Liga/Elche,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,134384,,6
