Team,ICSId,Provider
FC Augsburg,133652,TheSportsDB
Union Berlin,134690,TheSportsDB
Werder Bremen,133662,TheSportsDB
Borussia Dortmund,133650,TheSportsDB
Eintracht Frankfurt,133814,TheSportsDB
SC Freiburg,133653,TheSportsDB
Hamburger SV,155605,TheSportsDB
1. FC Heidenheim,134696,TheSportsDB
TSG Hoffenheim,133657,TheSportsDB
1. FC Köln,133654,TheSportsDB
RB Leipzig,134695,TheSportsDB
Bayer Leverkusen,133666,TheSportsDB
Mainz 05,133665,TheSportsDB
Borussia Mönchengladbach,134779,TheSportsDB
Bayern Munich,133664,TheSportsDB
FC St. Pauli,133813,TheSportsDB
VfB Stuttgart,133660,TheSportsDB
VfL Wolfsburg,133655,TheSportsDB
Arminia Bielefeld,133852,TheSportsDB
VfL Bochum,133839,TheSportsDB
Darmstadt 98,134693,TheSportsDB
Dynamo Dresden,135655,TheSportsDB
Eintracht Braunschweig,134302,TheSportsDB
Fortuna Düsseldorf,133935,TheSportsDB
Greuther Fürth,134099,TheSportsDB
Hannover 96,133656,TheSportsDB
Hertha BSC,133658,TheSportsDB
Holstein Kiel,136027,TheSportsDB
Kaiserslautern,133663,TheSportsDB
Karlsruher SC,135293,TheSportsDB
1. FC Magdeburg,136194,TheSportsDB
1. FC Nürnberg,133659,TheSportsDB
SC Paderborn,134551,TheSportsDB
Preußen Münster,137965,TheSportsDB
Schalke 04,133661,TheSportsDB
SV Elversberg,138411,TheSportsDB
1860 Munich,134242,TheSportsDB
Alemannia Aachen,134210,TheSportsDB
Erzgebirge Aue,134445,TheSportsDB
Energie Cottbus,133853,TheSportsDB
MSV Duisburg,133877,TheSportsDB
Hansa Rostock,133876,TheSportsDB
Havelse,138375,TheSportsDB
Hoffenheim II,138365,TheSportsDB
FC Ingolstadt,134694,TheSportsDB
Jahn Regensburg,136026,TheSportsDB
Waldhof Mannheim,137962,TheSportsDB
VfL Osnabrück,137115,TheSportsDB
Rot-Weiss Essen,138400,TheSportsDB
Saarbrücken,138410,TheSportsDB
Schweinfurt,138424,TheSportsDB
VfB Stuttgart II,140052,TheSportsDB
SSV Ulm,135430,TheSportsDB
Verl,138399,TheSportsDB
Viktoria Köln,137961,TheSportsDB
Wehen Wiesbaden,137111,TheSportsDB
Athletic Bilbao,133727,TheSportsDB
Atlético Madrid,133729,TheSportsDB
Barcelona,133739,TheSportsDB
Celta Vigo,133937,TheSportsDB
Deportivo Alavés,134221,TheSportsDB
Elche,134384,TheSportsDB
Espanyol,133734,TheSportsDB
