Kategorie,Kalenderpfad,Land,Wettbewerb,Team,SubGroupOrder,API-Provider,API-Key-Provider,ICSId
Sport,Basketball/NBA,United States,Basketball/NBA,Atlanta Hawks,1,TheSportsDB,THESPORTSDB_API_KEY,134880
Sport,Basketball/NBA,United States,Basketball/NBA,Boston Celtics,2,TheSportsDB,THESPORTSDB_API_KEY,134860
Sport,Basketball/NBA,United States,Basketball/NBA,Brooklyn Nets,3,TheSportsDB,THESPORTSDB_API_KEY,134861
Sport,Basketball/NBA,United States,Basketball/NBA,Charlotte Hornets,4,TheSportsDB,THESPORTSDB_API_KEY,134881
Sport,Basketball/NBA,United States,Basketball/NBA,Chicago Bulls,5,TheSportsDB,THESPORTSDB_API_KEY,134870
Sport,Basketball/NBA,United States,Basketball/NBA,Cleveland Cavaliers,6,TheSportsDB,THESPORTSDB_API_KEY,134871
Sport,Basketball/NBA,United States,Basketball/NBA,Dallas Mavericks,7,TheSportsDB,THESPORTSDB_API_KEY,134875
Sport,Basketball/NBA,United States,Basketball/NBA,Denver Nuggets,8,TheSportsDB,THESPORTSDB_API_KEY,134885
Sport,Basketball/NBA,United States,Basketball/NBA,Detroit Pistons,9,TheSportsDB,THESPORTSDB_API_KEY,134872
Sport,Basketball/NBA,United States,Basketball/NBA,Golden State Warriors,10,TheSportsDB,THESPORTSDB_API_KEY,134865
Sport,Basketball/NBA,United States,Basketball/NBA,Houston Rockets,11,TheSportsDB,THESPORTSDB_API_KEY,134876
Sport,Basketball/NBA,United States,Basketball/NBA,Indiana Pacers,12,TheSportsDB,THESPORTSDB_API_KEY,134873
Sport,Basketball/NBA,United States,Basketball/NBA,Los Angeles Clippers,13,TheSportsDB,THESPORTSDB_API_KEY,134866
Sport,Basketball/NBA,United States,Basketball/NBA,Los Angeles Lakers,14,TheSportsDB,THESPORTSDB_API_KEY,134867
Sport,Basketball/NBA,United States,Basketball/NBA,Memphis Grizzlies,15,TheSportsDB,THESPORTSDB_API_KEY,134877
Sport,Basketball/NBA,United States,Basketball/NBA,Miami Heat,16,TheSportsDB,THESPORTSDB_API_KEY,134882
Sport,Basketball/NBA,United States,Basketball/NBA,Milwaukee Bucks,17,TheSportsDB,THESPORTSDB_API_KEY,134874
Sport,Basketball/NBA,United States,Basketball/NBA,Minnesota Timberwolves,18,TheSportsDB,THESPORTSDB_API_KEY,134886
Sport,Basketball/NBA,United States,Basketball/NBA,New Orleans Pelicans,19,TheSportsDB,THESPORTSDB_API_KEY,134878
Sport,Basketball/NBA,United States,Basketball/NBA,New York Knicks,20,TheSportsDB,THESPORTSDB_API_KEY,134862
Sport,Basketball/NBA,United States,Basketball/NBA,Oklahoma City Thunder,21,TheSportsDB,THESPORTSDB_API_KEY,134887
Sport,Basketball/NBA,United States,Basketball/NBA,Orlando Magic,22,TheSportsDB,THESPORTSDB_API_KEY,134883
Sport,Basketball/NBA,United States,Basketball/NBA,Philadelphia 76ers,23,TheSportsDB,THESPORTSDB_API_KEY,134863
Sport,Basketball/NBA,United States,Basketball/NBA,Phoenix Suns,24,TheSportsDB,THESPORTSDB_API_KEY,134868
Sport,Basketball/NBA,United States,Basketball/NBA,Portland Trail Blazers,25,TheSportsDB,THESPORTSDB_API_KEY,134888
Sport,Basketball/NBA,United States,Basketball/NBA,Sacramento Kings,26,TheSportsDB,THESPORTSDB_API_KEY,134869
Sport,Basketball/NBA,United States,Basketball/NBA,San Antonio Spurs,27,TheSportsDB,THESPORTSDB_API_KEY,134879
Sport,Basketball/NBA,United States,Basketball/NBA,Toronto Raptors,28,TheSportsDB,THESPORTSDB_API_KEY,134864
Sport,Basketball/NBA,United States,Basketball/NBA,Utah Jazz,29,TheSportsDB,THESPORTSDB_API_KEY,134889
Sport,Basketball/NBA,United States,Basketball/NBA,Washington Wizards,30,TheSportsDB,THESPORTSDB_API_KEY,134884
