Kategorie,Kalenderpfad,Land,Wettbewerb,Team,SubGroupOrder,API-Provider,API-Key-Provider,ICSId
Sport,Football/NFL,United States,Football/NFL,Arizona Cardinals,1,TheSportsDB,THESPORTSDB_API_KEY,134946
Sport,Football/NFL,United States,Football/NFL,Atlanta Falcons,2,TheSportsDB,THESPORTSDB_API_KEY,134942
Sport,Football/NFL,United States,Football/NFL,Baltimore Ravens,3,TheSportsDB,THESPORTSDB_API_KEY,134922
Sport,Football/NFL,United States,Football/NFL,Buffalo Bills,4,TheSportsDB,THESPORTSDB_API_KEY,134918
Sport,Football/NFL,United States,Football/NFL,Carolina Panthers,5,TheSportsDB,THESPORTSDB_API_KEY,134943
Sport,Football/NFL,United States,Football/NFL,Chicago Bears,6,TheSportsDB,THESPORTSDB_API_KEY,134938
Sport,Football/NFL,United States,Football/NFL,Cincinnati Bengals,7,TheSportsDB,THESPORTSDB_API_KEY,134923
Sport,Football/NFL,United States,Football/NFL,Cleveland Browns,8,TheSportsDB,THESPORTSDB_API_KEY,134924
Sport,Football/NFL,United States,Football/NFL,Dallas Cowboys,9,TheSportsDB,THESPORTSDB_API_KEY,134934
Sport,Football/NFL,United States,Football/NFL,Denver Broncos,10,TheSportsDB,THESPORTSDB_API_KEY,134930
Sport,Football/NFL,United States,Football/NFL,Detroit Lions,11,TheSportsDB,THESPORTSDB_API_KEY,134939
Sport,Football/NFL,United States,Football/NFL,Green Bay Packers,12,TheSportsDB,THESPORTSDB_API_KEY,134940
Sport,Football/NFL,United States,Football/NFL,Houston Texans,13,TheSportsDB,THESPORTSDB_API_KEY,134926
Sport,Football/NFL,United States,Football/NFL,Indianapolis Colts,14,TheSportsDB,THESPORTSDB_API_KEY,134927
Sport,Football/NFL,United States,Football/NFL,Jacksonville Jaguars,15,TheSportsDB,THESPORTSDB_API_KEY,134928
Sport,Football/NFL,United States,Football/NFL,Kansas City Chiefs,16,TheSportsDB,THESPORTSDB_API_KEY,134931
Sport,Football/NFL,United States,Football/NFL,Las Vegas Raiders,17,TheSportsDB,THESPORTSDB_API_KEY,134932
Sport,Football/NFL,United States,Football/NFL,Los Angeles Chargers,18,TheSportsDB,THESPORTSDB_API_KEY,135908
Sport,Football/NFL,United States,Football/NFL,Los Angeles Rams,19,TheSportsDB,THESPORTSDB_API_KEY,135907
Sport,Football/NFL,United States,Football/NFL,Miami Dolphins,20,TheSportsDB,THESPORTSDB_API_KEY,134919
Sport,Football/NFL,United States,Football/NFL,Minnesota Vikings,21,TheSportsDB,THESPORTSDB_API_KEY,134941
Sport,Football/NFL,United States,Football/NFL,New England Patriots,22,TheSportsDB,THESPORTSDB_API_KEY,134920
Sport,Football/NFL,United States,Football/NFL,New Orleans Saints,23,TheSportsDB,THESPORTSDB_API_KEY,134944
Sport,Football/NFL,United States,Football/NFL,New York Giants,24,TheSportsDB,THESPORTSDB_API_KEY,134935
Sport,Football/NFL,United States,Football/NFL,New York Jets,25,TheSportsDB,THESPORTSDB_API_KEY,134921
Sport,Football/NFL,United States,Football/NFL,Philadelphia Eagles,26,TheSportsDB,THESPORTSDB_API_KEY,134936
Sport,Football/NFL,United States,Football/NFL,Pittsburgh Steelers,27,TheSportsDB,THESPORTSDB_API_KEY,134925
Sport,Football/NFL,United States,Football/NFL,San Francisco 49ers,28,TheSportsDB,THESPORTSDB_API_KEY,134948
Sport,Football/NFL,United States,Football/NFL,Seattle Seahawks,29,TheSportsDB,THESPORTSDB_API_KEY,134949
Sport,Football/NFL,United States,Football/NFL,Tampa Bay Buccaneers,30,TheSportsDB,THESPORTSDB_API_KEY,134945
Sport,Football/NFL,United States,Football/NFL,Tennessee Titans,31,TheSportsDB,THESPORTSDB_API_KEY,134929
Sport,Football/NFL,United States,Football/NFL,Washington Commanders,32,TheSportsDB,THESPORTSDB_API_KEY,134937
