German Bundesliga	10
133666	Bayer Leverkusen	Germany
133664	Bayern Munich	Germany
133650	Borussia Dortmund	Germany
134779	Borussia Mönchengladbach	Germany
133814	Eintracht Frankfurt	Germany
138411	Elversberg	Germany
133652	FC Augsburg	Germany
133654	FC Köln	Germany
133653	Freiburg	Germany
133651	Hamburg	Germany
German 2. Bundesliga	10
133852	Arminia Bielefeld	Germany
133839	Bochum	Germany
134693	Darmstadt	Germany
135655	Dynamo Dresden	Germany
134302	Eintracht Braunschweig	Germany
134099	Greuther Fürth	Germany
133656	Hannover 96	Germany
134696	Heidenheim	Germany
133658	Hertha	Germany
136027	Holstein Kiel	Germany
Germany Liga 3	10
134242	1860 Munich	Germany
134210	Alemannia Aachen	Germany
133877	Duisburg	Germany
133853	Energie Cottbus	Germany
134445	Erzgebirge Aue	Germany
133935	Fortuna Düsseldorf	Germany
133876	Hansa Rostock	Germany
138375	Havelse	Germany
138365	Hoffenheim II	Germany
134694	Ingolstadt	Germany
Spanish La Liga	10
133727	Athletic Bilbao	Spain
133729	Atlético Madrid	Spain
133739	Barcelona	Spain
133937	Celta Vigo	Spain
134221	Deportivo Alavés	Spain
134384	Elche	Spain
133734	Espanyol	Spain
133731	Getafe	Spain
134700	Girona	Spain
133732	Levante	Spain
Spanish La Liga 2	10
134232	Albacete	Spain
133817	Almería	Spain
138161	Burgos	Spain
134222	Cádiz	Spain
138286	Castellón	Spain
144243	Ceuta	Spain
134627	Córdoba	Spain
135888	Cultural Leonesa	Spain
133816	Deportivo de La Coruña	Spain
134626	Eibar	Spain
English Premier League	10
133604	Arsenal	England
133601	Aston Villa	England
134301	Bournemouth	England
134355	Brentford	England
133619	Brighton and Hove Albion	England
133610	Chelsea	England
133625	Coventry City	England
133632	Crystal Palace	England
133615	Everton	England
133600	Fulham	England
English League Championship	10
133597	Birmingham City	England
133598	Blackburn Rovers	England
133606	Bolton Wanderers	England
133621	Bristol City	England
133623	Burnley	England
133637	Cardiff City	Wales
133851	Charlton Athletic	England
133627	Derby County	England
135900	Lincoln City	England
133628	Middlesbrough	England
French Ligue 1	10
134709	Angers	France
134788	Auxerre	France
133704	Brest	France
133862	Le Havre	France
133822	Lens	France
133711	Lille	France
133715	Lorient	France
133713	Lyon	France
133707	Marseille	France
133883	Metz	France
French Ligue 2	10
135658	Amiens	France
139928	Annecy	France
133933	Bastia	France
133849	Boulogne	France
134713	Clermont Foot	France
138821	Dunkerque	France
133847	Grenoble	France
134244	Guingamp	France
134708	Laval	France
133848	Le Mans	France
Italian Serie A	10
133667	AC Milan	Italy
134782	Atalanta	Italy
134781	Bologna	Italy
134783	Cagliari	Italy
134243	Como	Italy
134224	Cremonese	Italy
133674	Fiorentina	Italy
133675	Genoa	Italy
134784	Hellas Verona	Italy
133681	Inter Milan	Italy
Italian Serie B	10
133858	Avellino	Italy
133688	Bari	Italy
134666	Carrarese	Italy
134223	Catanzaro	Italy
133669	Cesena	Italy
133695	Empoli	Italy
133818	Frosinone	Italy
133696	Juve Stabia	Italy
133845	Mantova	Italy
133700	Modena	Italy
